sale_id,date_id,product_id,customer_id,salesperson_id,location_id,units_sold,unit_price,revenue,discount_type,payment_method,delivery_status,return_status,return_amount
1,1,P001,C1996,SP02,L04,24,112.11,2835.162,No Discount,Credit Card,Cancelled,No Returns,40.31
2,1,P003,C1442,SP06,L11,37,52.51,2423.6288,Promotional,Installment,Pending,Partially Returned,163.59
3,1,P004,C1180,SP01,L01,21,492.87,1252.692,Promotional,Credit Card,Cancelled,Partially Returned,358.63
4,1,P004,C0836,SP04,L05,2,343.14,680.0830400000001,Seasonal,Installment,Delivered,No Returns,310.1
5,1,P004,C0258,SP05,L07,37,352.86,1210.7592,Promotional,Installment,Pending,Returned,269.05
6,1,P006,C1211,SP02,L04,9,233.18,2026.4688,Seasonal,Online Payment,Delivered,Partially Returned,166.66
7,1,P006,C1501,SP02,L03,35,389.27,641.2089599999999,No Discount,Installment,Cancelled,No Returns,272.43
8,1,P006,C0376,SP02,L05,43,142.9,889.3247999999999,No Discount,Installment,Cancelled,Partially Returned,243.05
9,1,P006,C0809,SP04,L02,4,93.93,993.18912,No Discount,Cash,Cancelled,Returned,65.51
10,2,P001,C1405,SP01,L05,27,269.79,2100.2709,Seasonal,Credit Card,Cancelled,No Returns,279.13
11,2,P002,C0946,SP03,L11,11,108.99,1674.5856,Seasonal,Cash,Delivered,No Returns,252.51
12,2,P005,C1742,SP01,L03,9,142.51,3422.9952,Seasonal,Cash,Cancelled,No Returns,322.0
13,2,P005,C2051,SP04,L09,33,281.8,2632.27008,No Discount,Cash,Delivered,Returned,35.02
14,2,P006,C0344,SP04,L04,45,407.66,657.1756799999999,Promotional,Cash,Cancelled,Partially Returned,108.75
15,3,P001,C0351,SP05,L07,12,221.72,2259.2115,Promotional,Credit Card,Cancelled,Returned,407.88
16,3,P004,C2104,SP05,L11,13,159.14,1047.696,Promotional,Credit Card,Pending,Returned,11.31
17,3,P006,C1034,SP02,L08,23,23.16,2030.13,Promotional,Credit Card,Cancelled,Partially Returned,110.14
18,4,P002,C0181,SP01,L05,49,74.45,266.86296,Seasonal,Cash,Delivered,Partially Returned,59.03
19,4,P003,C1979,SP02,L10,19,11.31,7802.367999999999,No Discount,Online Payment,Cancelled,Partially Returned,20.12
20,4,P004,C0387,SP04,L09,20,18.29,951.44192,No Discount,Installment,Delivered,No Returns,442.0
