customer_id,customer_name,customer_type
C0001,Customer 1,VIP
C0002,Customer 100,VIP
C0003,Customer 1000,New
C0004,Customer 1001,New
C0005,Customer 1002,New
C0006,Customer 1004,VIP
C0007,Customer 1005,VIP
C0008,Customer 1006,New
C0009,Customer 1007,New
C0010,Customer 1009,VIP
C0011,Customer 101,Returning
C0012,Customer 1011,New
C0013,Customer 1012,Returning
C0014,Customer 1013,New
C0015,Customer 1014,VIP
C0016,Customer 1015,New
C0017,Customer 1016,New
C0018,Customer 1017,VIP
C0019,Customer 1018,VIP
C0020,Customer 1019,Returning
C0021,Customer 102,Returning
C0022,Customer 1021,Returning
C0023,Customer 1022,Returning
C0024,Customer 1023,New
C0025,Customer 1024,Returning
C0026,Customer 1025,Returning
C0027,Customer 1027,New
C0028,Customer 1028,Returning
C0029,Customer 103,VIP
C0030,Customer 1030,New
C0031,Customer 1031,Returning
C0032,Customer 1032,Returning
C0033,Customer 1033,Returning
C0034,Customer 1034,Returning
C0035,Customer 1035,Returning
C0036,Customer 1036,Returning
C0037,Customer 1037,VIP
C0038,Customer 1038,Returning
C0039,Customer 1039,Returning
C0040,Customer 104,New
C0041,Customer 1040,VIP
C0042,Customer 1041,Returning
C0043,Customer 1042,Returning
C0044,Customer 1043,Returning
C0045,Customer 1044,New
C0046,Customer 1046,New
C0047,Customer 1047,New
C0048,Customer 1048,New
C0049,Customer 1049,VIP
C0050,Customer 105,VIP
C0051,Customer 1050,New
C0052,Customer 1051,New
C0053,Customer 1052,VIP
C0054,Customer 1053,VIP
C0055,Customer 1054,Returning
C0056,Customer 1055,VIP
C0057,Customer 1056,New
C0058,Customer 1058,New
C0059,Customer 1059,Returning
C0060,Customer 106,New
C0061,Customer 1060,VIP
C0062,Customer 1061,VIP
C0063,Customer 1062,VIP
C0064,Customer 1063,VIP
C0065,Customer 1064,New
C0066,Customer 1066,Returning
C0067,Customer 1067,Returning
C0068,Customer 1068,New
C0069,Customer 107,Returning
C0070,Customer 1070,New
C0071,Customer 1071,Returning
C0072,Customer 1072,VIP
C0073,Customer 1073,New
C0074,Customer 1074,Returning
C0075,Customer 1075,VIP
C0076,Customer 1076,Returning
C0077,Customer 1077,Returning
C0078,Customer 1078,New
C0079,Customer 1079,New
C0080,Customer 108,New
C0081,Customer 1081,Returning
C0082,Customer 1082,VIP
C0083,Customer 1083,VIP
C0084,Customer 1084,Returning
C0085,Customer 1085,Returning
C0086,Customer 1086,New
C0087,Customer 1087,VIP
C0088,Customer 1089,Returning
C0089,Customer 109,Returning
C0090,Customer 1091,Returning
C0091,Customer 1092,Returning
C0092,Customer 1093,New
C0093,Customer 1094,Returning
C0094,Customer 1095,Returning
C0095,Customer 1096,Returning
C0096,Customer 1097,VIP
C0097,Customer 1098,Returning
C0098,Customer 1099,Returning
C0099,Customer 11,Returning
C0100,Customer 110,Returning
C0101,Customer 1100,Returning
C0102,Customer 1101,Returning
C0103,Customer 1102,VIP
C0104,Customer 1103,Returning
C0105,Customer 1104,VIP
C0106,Customer 1105,VIP
C0107,Customer 1106,New
C0108,Customer 1107,VIP
C0109,Customer 1108,New
C0110,Customer 1109,Returning
C0111,Customer 111,VIP
C0112,Customer 1110,New
C0113,Customer 1111,New
C0114,Customer 1112,New
C0115,Customer 1113,Returning
C0116,Customer 1114,VIP
C0117,Customer 1115,Returning
C0118,Customer 1116,New
C0119,Customer 1117,New
C0120,Customer 1118,New
